"global_step","agent_type: gru (SAVI BC Dataset_v0) - _step","agent_type: gru (SAVI BC Dataset_v0) - _step__MIN","agent_type: gru (SAVI BC Dataset_v0) - _step__MAX","agent_type: gru (SAVI BC Dataset_v0) - metrics/success","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MIN","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MAX","agent_type: gw (SAVI BC Dataset_v0) - _step","agent_type: gw (SAVI BC Dataset_v0) - _step__MIN","agent_type: gw (SAVI BC Dataset_v0) - _step__MAX","agent_type: gw (SAVI BC Dataset_v0) - metrics/success","agent_type: gw (SAVI BC Dataset_v0) - metrics/success__MIN","agent_type: gw (SAVI BC Dataset_v0) - metrics/success__MAX"
"2535000","676.4","676","677","0.24000000357627868","0","0.4000000059604645","677","677","677","0.28000000715255735","0","0.6000000238418579"
"2550000","680.4","680","681","0.4400000095367432","0","0.800000011920929","681","681","681","0.4000000089406967","0","0.800000011920929"
"2565000","684.4","684","685","0.44000000357627866","0.20000000298023224","1","685","685","685","0.5200000107288361","0","0.800000011920929"
"2580000","688.4","688","689","0.3200000047683716","0","0.4000000059604645","689","689","689","0.24000000357627868","0","0.800000011920929"
"2595000","692.4","692","693","0.4400000125169754","0.20000000298023224","0.6000000238418579","693","693","693","0.16000000536441802","0","0.6000000238418579"
"2610000","696.4","696","697","0.4400000125169754","0.20000000298023224","0.6000000238418579","697","697","697","0.360000005364418","0.20000000298023224","0.800000011920929"
"2625000","700.4","700","701","0.5200000077486038","0.20000000298023224","1","701","701","701","0.28000000715255735","0","0.6000000238418579"
"2640000","704.4","704","705","0.360000005364418","0","0.800000011920929","705","705","705","0.24000000655651094","0","0.6000000238418579"
"2655000","708.4","708","709","0.360000005364418","0.20000000298023224","0.4000000059604645","709","709","709","0.20000000298023224","0","0.4000000059604645"
"2670000","712.4","712","713","0.5600000143051147","0.4000000059604645","0.800000011920929","713","713","713","0.20000000298023224","0","0.800000011920929"
"2685000","716.4","716","717","0.44000001549720763","0.20000000298023224","0.6000000238418579","717","717","717","0.44000000655651095","0.20000000298023224","0.800000011920929"
"2700000","720.4","720","721","0.44000001549720763","0","0.6000000238418579","721","721","721","0.3600000083446503","0.20000000298023224","0.6000000238418579"
"2715000","724.4","724","725","0.6000000178813935","0.4000000059604645","0.800000011920929","725","725","725","0.28000001013278963","0","0.6000000238418579"
"2730000","728.4","728","729","0.28000000715255735","0","0.6000000238418579","729","729","729","0.5600000143051147","0.4000000059604645","0.800000011920929"
"2745000","732.4","732","733","0.20000000298023224","0","0.4000000059604645","733","733","733","0.3600000083446503","0.20000000298023224","0.6000000238418579"
"2760000","736.4","736","737","0.5200000077486038","0","1","737","737","737","0.3600000023841858","0","1"
"2775000","740.4","740","741","0.24000000655651094","0","0.6000000238418579","741","741","741","0.24000000655651094","0","0.6000000238418579"
"2790000","744.4","744","745","0.28000000715255735","0","0.6000000238418579","745","745","745","0.4400000095367432","0","0.800000011920929"
"2805000","748.4","748","749","0.3200000077486038","0.20000000298023224","0.6000000238418579","749","749","749","0.48000000715255736","0","1"
"2820000","752.4","752","753","0.360000005364418","0","0.800000011920929","753","753","753","0.48000000417232513","0.20000000298023224","1"
"2835000","756.4","756","757","0.3200000047683716","0","0.800000011920929","757","757","757","0.6000000089406967","0.20000000298023224","1"
"2850000","760.4","760","761","0.3200000047683716","0","0.800000011920929","761","761","761","0.3600000023841858","0","1"
"2865000","764.4","764","765","0.24000000655651094","0","0.6000000238418579","765","765","765","0.600000011920929","0","1"
"2880000","768.4","768","769","0.24000000357627868","0.20000000298023224","0.4000000059604645","769","769","769","0.4800000131130219","0.20000000298023224","0.800000011920929"
"2895000","772.4","772","773","0.44000001549720763","0","0.6000000238418579","773","773","773","0.5600000113248825","0.20000000298023224","0.800000011920929"
"2910000","776.4","776","777","0.24000000357627868","0","0.4000000059604645","777","777","777","0.44000000655651095","0","1"
"2925000","780.4","780","781","0.28000000715255735","0","0.6000000238418579","781","781","781","0.4000000089406967","0","0.800000011920929"
"2940000","784.4","784","785","0.4800000160932541","0.20000000298023224","0.6000000238418579","785","785","785","0.4000000089406967","0","0.800000011920929"
"2955000","788.4","788","789","0.2800000041723251","0","0.4000000059604645","789","789","789","0.48000000715255736","0","0.800000011920929"
"2970000","792.4","792","793","0.5200000166893005","0.4000000059604645","0.6000000238418579","793","793","793","0.3600000113248825","0","0.6000000238418579"
